challenge_id	slug	issue_state	branch	worktree	tracking_issue	challenge_page	planner_doc	generator_doc	evaluator_doc	rubric_doc	pr_url
0001	core-transmutation	CLOSED	verify-rust-std/reexec-0001-core-transmutation	/home/zhaoji/projs/mir-semantics-vrs/challenges/0001-core-transmutation	[#19](https://github.com/model-checking/verify-rust-std/issues/19)	https://github.com/model-checking/verify-rust-std/blob/main/doc/src/challenges/0001-core-transmutation.md	docs/verify-rust-std/challenges/0001-core-transmutation/planner.md	docs/verify-rust-std/challenges/0001-core-transmutation/generator.md	docs/verify-rust-std/challenges/0001-core-transmutation/evaluator.md	docs/verify-rust-std/challenges/0001-core-transmutation/rubric.md	https://github.com/runtimeverification/mir-semantics/pull/1026
0002	intrinsics-memory	OPEN	verify-rust-std/reexec-0002-intrinsics-memory	/home/zhaoji/projs/mir-semantics-vrs/challenges/0002-intrinsics-memory	[#16](https://github.com/model-checking/verify-rust-std/issues/16)	https://github.com/model-checking/verify-rust-std/blob/main/doc/src/challenges/0002-intrinsics-memory.md	docs/verify-rust-std/challenges/0002-intrinsics-memory/planner.md	docs/verify-rust-std/challenges/0002-intrinsics-memory/generator.md	docs/verify-rust-std/challenges/0002-intrinsics-memory/evaluator.md	docs/verify-rust-std/challenges/0002-intrinsics-memory/rubric.md	https://github.com/runtimeverification/mir-semantics/pull/1027
0003	pointer-arithmentic	CLOSED	verify-rust-std/reexec-0003-pointer-arithmentic	/home/zhaoji/projs/mir-semantics-vrs/challenges/0003-pointer-arithmentic	[#76](https://github.com/model-checking/verify-rust-std/issues/76)	https://github.com/model-checking/verify-rust-std/blob/main/doc/src/challenges/0003-pointer-arithmentic.md	docs/verify-rust-std/challenges/0003-pointer-arithmentic/planner.md	docs/verify-rust-std/challenges/0003-pointer-arithmentic/generator.md	docs/verify-rust-std/challenges/0003-pointer-arithmentic/evaluator.md	docs/verify-rust-std/challenges/0003-pointer-arithmentic/rubric.md	https://github.com/runtimeverification/mir-semantics/pull/1028
0004	btree-node	OPEN	verify-rust-std/reexec-0004-btree-node	/home/zhaoji/projs/mir-semantics-vrs/challenges/0004-btree-node	[#77](https://github.com/model-checking/verify-rust-std/issues/77)	https://github.com/model-checking/verify-rust-std/blob/main/doc/src/challenges/0004-btree-node.md	docs/verify-rust-std/challenges/0004-btree-node/planner.md	docs/verify-rust-std/challenges/0004-btree-node/generator.md	docs/verify-rust-std/challenges/0004-btree-node/evaluator.md	docs/verify-rust-std/challenges/0004-btree-node/rubric.md	https://github.com/runtimeverification/mir-semantics/pull/1029
0005	linked-list	CLOSED	verify-rust-std/reexec-0005-linked-list	/home/zhaoji/projs/mir-semantics-vrs/challenges/0005-linked-list	[#29](https://github.com/model-checking/verify-rust-std/issues/29)	https://github.com/model-checking/verify-rust-std/blob/main/doc/src/challenges/0005-linked-list.md	docs/verify-rust-std/challenges/0005-linked-list/planner.md	docs/verify-rust-std/challenges/0005-linked-list/generator.md	docs/verify-rust-std/challenges/0005-linked-list/evaluator.md	docs/verify-rust-std/challenges/0005-linked-list/rubric.md	https://github.com/runtimeverification/mir-semantics/pull/1030
0006	nonnull	CLOSED	verify-rust-std/reexec-0006-nonnull	/home/zhaoji/projs/mir-semantics-vrs/challenges/0006-nonnull	[#53](https://github.com/model-checking/verify-rust-std/issues/53)	https://github.com/model-checking/verify-rust-std/blob/main/doc/src/challenges/0006-nonnull.md	docs/verify-rust-std/challenges/0006-nonnull/planner.md	docs/verify-rust-std/challenges/0006-nonnull/generator.md	docs/verify-rust-std/challenges/0006-nonnull/evaluator.md	docs/verify-rust-std/challenges/0006-nonnull/rubric.md	https://github.com/runtimeverification/mir-semantics/pull/1031
0007	atomic-types	OPEN	verify-rust-std/reexec-0007-atomic-types	/home/zhaoji/projs/mir-semantics-vrs/challenges/0007-atomic-types	[#83](https://github.com/model-checking/verify-rust-std/issues/83)	https://github.com/model-checking/verify-rust-std/blob/main/doc/src/challenges/0007-atomic-types.md	docs/verify-rust-std/challenges/0007-atomic-types/planner.md	docs/verify-rust-std/challenges/0007-atomic-types/generator.md	docs/verify-rust-std/challenges/0007-atomic-types/evaluator.md	docs/verify-rust-std/challenges/0007-atomic-types/rubric.md	https://github.com/runtimeverification/mir-semantics/pull/1032
0008	smallsort	OPEN	verify-rust-std/reexec-0008-smallsort	/home/zhaoji/projs/mir-semantics-vrs/challenges/0008-smallsort	[#56](https://github.com/model-checking/verify-rust-std/issues/56)	https://github.com/model-checking/verify-rust-std/blob/main/doc/src/challenges/0008-smallsort.md	docs/verify-rust-std/challenges/0008-smallsort/planner.md	docs/verify-rust-std/challenges/0008-smallsort/generator.md	docs/verify-rust-std/challenges/0008-smallsort/evaluator.md	docs/verify-rust-std/challenges/0008-smallsort/rubric.md	https://github.com/runtimeverification/mir-semantics/pull/1033
0009	duration	CLOSED	verify-rust-std/reexec-0009-duration	/home/zhaoji/projs/mir-semantics-vrs/challenges/0009-duration	[#72](https://github.com/model-checking/verify-rust-std/issues/72)	https://github.com/model-checking/verify-rust-std/blob/main/doc/src/challenges/0009-duration.md	docs/verify-rust-std/challenges/0009-duration/planner.md	docs/verify-rust-std/challenges/0009-duration/generator.md	docs/verify-rust-std/challenges/0009-duration/evaluator.md	docs/verify-rust-std/challenges/0009-duration/rubric.md	https://github.com/runtimeverification/mir-semantics/pull/1034
0010	string	OPEN	verify-rust-std/reexec-0010-string	/home/zhaoji/projs/mir-semantics-vrs/challenges/0010-string	[#61](https://github.com/model-checking/verify-rust-std/issues/61)	https://github.com/model-checking/verify-rust-std/blob/main/doc/src/challenges/0010-string.md	docs/verify-rust-std/challenges/0010-string/planner.md	docs/verify-rust-std/challenges/0010-string/generator.md	docs/verify-rust-std/challenges/0010-string/evaluator.md	docs/verify-rust-std/challenges/0010-string/rubric.md	https://github.com/runtimeverification/mir-semantics/pull/1035
0011	floats-ints	CLOSED	verify-rust-std/reexec-0011-floats-ints	/home/zhaoji/projs/mir-semantics-vrs/challenges/0011-floats-ints	[#59](https://github.com/model-checking/verify-rust-std/issues/59)	https://github.com/model-checking/verify-rust-std/blob/main/doc/src/challenges/0011-floats-ints.md	docs/verify-rust-std/challenges/0011-floats-ints/planner.md	docs/verify-rust-std/challenges/0011-floats-ints/generator.md	docs/verify-rust-std/challenges/0011-floats-ints/evaluator.md	docs/verify-rust-std/challenges/0011-floats-ints/rubric.md	https://github.com/runtimeverification/mir-semantics/pull/1036
0012	nonzero	OPEN	verify-rust-std/reexec-0012-nonzero	/home/zhaoji/projs/mir-semantics-vrs/challenges/0012-nonzero	[#71](https://github.com/model-checking/verify-rust-std/issues/71)	https://github.com/model-checking/verify-rust-std/blob/main/doc/src/challenges/0012-nonzero.md	docs/verify-rust-std/challenges/0012-nonzero/planner.md	docs/verify-rust-std/challenges/0012-nonzero/generator.md	docs/verify-rust-std/challenges/0012-nonzero/evaluator.md	docs/verify-rust-std/challenges/0012-nonzero/rubric.md	https://github.com/runtimeverification/mir-semantics/pull/1037
0013	cstr	OPEN	verify-rust-std/reexec-0013-cstr	/home/zhaoji/projs/mir-semantics-vrs/challenges/0013-cstr	[#150](https://github.com/model-checking/verify-rust-std/issues/150)	https://github.com/model-checking/verify-rust-std/blob/main/doc/src/challenges/0013-cstr.md	docs/verify-rust-std/challenges/0013-cstr/planner.md	docs/verify-rust-std/challenges/0013-cstr/generator.md	docs/verify-rust-std/challenges/0013-cstr/evaluator.md	docs/verify-rust-std/challenges/0013-cstr/rubric.md	https://github.com/runtimeverification/mir-semantics/pull/1038
0014	convert-num	CLOSED	verify-rust-std/reexec-0014-convert-num	/home/zhaoji/projs/mir-semantics-vrs/challenges/0014-convert-num	[#220](https://github.com/model-checking/verify-rust-std/issues/220)	https://github.com/model-checking/verify-rust-std/blob/main/doc/src/challenges/0014-convert-num.md	docs/verify-rust-std/challenges/0014-convert-num/planner.md	docs/verify-rust-std/challenges/0014-convert-num/generator.md	docs/verify-rust-std/challenges/0014-convert-num/evaluator.md	docs/verify-rust-std/challenges/0014-convert-num/rubric.md	https://github.com/runtimeverification/mir-semantics/pull/1039
